,Lead Number,Lead Score
1605,643546,100
8060,588093,100
6243,601868,100
2938,631540,100
3478,627106,100
4179,619793,100
3285,628517,100
1578,643832,100
1575,643848,100
3090,630287,100
7963,588783,100
4028,621344,100
2497,635761,100
9087,580713,100
4856,613488,100
7036,595703,100
739,652787,100
5137,610562,100
7848,589584,100
6751,598055,100
2675,633956,100
5797,605299,100
7297,593436,100
8243,586948,100
6179,602404,100
4559,616003,100
6944,596412,100
6892,596724,100
3069,630550,100
7453,592414,100
8980,581506,100
5802,605275,100
2489,635810,100
2594,634647,100
2495,635776,100
79,659710,100
1570,643897,100
7719,590623,100
1324,645927,100
2662,634024,100
2473,635947,100
8977,581515,100
5752,605652,100
7171,594486,100
4860,613438,100
1548,644000,100
4592,615740,100
4480,616685,100
3287,628508,100
1558,643945,100
8048,588131,100
4677,614900,100
1009,649398,100
2622,634320,100
5803,605273,100
7324,593222,100
5505,607674,100
7227,593999,100
5822,605216,100
4782,614077,100
5790,605320,100
3180,629556,100
5019,611662,100
3321,628308,100
2658,634040,100
7736,590527,100
2656,634047,100
8106,587918,100
4900,612971,100
1408,645292,100
4772,614103,100
2852,632323,100
7470,592340,100
120,659283,100
3532,626692,100
4832,613659,100
8081,588013,100
8074,588037,100
2762,633126,100
3723,624434,100
6383,600952,100
5453,608132,100
7082,595230,100
2657,634043,100
6544,599578,100
2643,634102,100
2338,637169,100
3926,622413,100
5007,611863,100
7893,589305,100
4771,614107,100
7691,590817,100
4775,614096,100
2266,637829,100
1567,643902,100
2687,633903,100
8568,584341,100
7672,590951,100
5795,605303,100
8787,582776,100
4984,612067,100
1290,646330,100
5825,605210,100
6290,601618,100
8594,584186,100
5994,603831,100
7193,594329,100
8434,585438,100
4941,612637,100
2854,632303,100
1263,646522,100
2680,633926,100
133,659158,100
6647,598818,100
4791,614036,100
4708,614635,100
4428,617235,100
7167,594521,100
5695,606316,100
6666,598742,100
8059,588094,100
6712,598309,100
1693,642933,100
9211,579832,100
5671,606508,100
5815,605240,100
7579,591536,100
5933,604344,100
5805,605267,100
4844,613574,100
5276,609334,100
8073,588040,100
4786,614067,100
4297,618634,100
8597,584160,100
8089,588001,100
3570,626300,100
7652,591106,100
6698,598440,100
8063,588075,100
1467,644758,100
1542,644042,100
4281,618866,100
2655,634051,100
4781,614080,100
6811,597516,100
7096,595135,100
364,656563,100
7187,594369,100
7215,594057,100
8044,588143,100
5548,607359,100
8113,587890,100
8075,588035,100
639,653910,100
807,651935,100
8080,588019,100
5586,607109,100
3424,627485,100
8505,584774,100
4139,620274,100
5801,605278,100
7098,595075,100
5791,605319,100
2681,633922,100
1200,647201,100
8052,588111,100
2011,640191,100
2524,635453,100
5804,605271,100
5832,605156,100
5819,605220,100
1552,643977,100
8056,588102,100
7211,594089,100
4788,614042,100
1748,642361,100
9100,580595,100
4577,615878,100
4773,614100,100
5793,605316,100
819,651807,100
2806,632807,100
5794,605310,100
3428,627462,100
5697,606311,100
2549,635012,100
5792,605318,100
3265,628689,100
2673,633962,100
4777,614091,100
1425,645172,100
4902,612954,100
8090,588000,100
8112,587894,100
5785,605332,100
446,655552,100
3113,630010,100
6792,597723,100
1856,641507,100
4793,614018,100
6778,597861,100
1283,646366,100
1675,643053,100
7094,595141,100
6565,599452,100
4803,613918,100
2686,633910,100
818,651812,100
3172,629602,100
5808,605259,100
8069,588061,100
4613,615524,100
5027,611567,100
2763,633122,100
267,657611,100
6362,601100,100
2650,634068,100
4610,615558,100
7420,592625,100
3078,630427,100
8088,588003,100
6784,597829,100
2914,631706,100
2105,639387,100
2661,634027,100
3549,626477,100
4784,614070,100
6380,600972,100
631,653943,100
8888,582156,100
2674,633959,100
8108,587910,100
2677,633941,100
8055,588104,100
2598,634632,100
3521,626800,100
8946,581759,100
3439,627362,100
3032,630779,100
1450,644953,100
4466,616761,100
2786,632926,100
3095,630200,100
5921,604411,100
1625,643324,100
2844,632374,100
2617,634396,100
2440,636241,100
5541,607459,100
2684,633914,100
4935,612679,100
5807,605262,100
9107,580549,100
7496,592130,100
2841,632382,100
8077,588025,100
2665,634015,100
3761,624135,100
5470,608022,100
3248,628916,100
4244,619196,100
2042,639977,100
6434,600640,100
5817,605230,100
7057,595524,100
8928,581888,100
5787,605328,100
8648,583735,100
8098,587970,100
2016,640135,100
7552,591694,100
2765,633116,100
1568,643901,100
1424,645173,100
5659,606573,100
8101,587953,100
4776,614095,100
4578,615877,100
7566,591612,100
4955,612484,100
8118,587880,100
9015,581257,100
2804,632816,100
8070,588058,100
4068,620989,100
2672,633965,100
7699,590757,99
5692,606336,99
3388,627706,99
3983,621856,99
4862,613405,99
3969,622072,99
964,649980,99
2341,637159,99
2161,639056,99
880,651100,99
8942,581796,99
7100,595060,99
4868,613346,99
1502,644295,99
5856,605006,99
1103,648231,99
212,658258,99
2490,635809,99
4005,621555,99
6687,598518,99
7259,593824,99
88,659631,99
8510,584727,99
5022,611640,99
178,658634,99
2296,637500,99
8087,588005,99
3074,630462,99
5135,610574,99
3758,624169,99
6823,597388,99
5062,611225,99
4548,616067,99
1747,642384,99
5395,608451,99
5571,607221,99
1314,646068,99
3326,628273,99
6332,601334,99
270,657586,99
3786,623794,99
7249,593864,99
6953,596303,99
2722,633548,99
5000,611930,99
8576,584301,99
7214,594063,99
318,657038,99
3456,627247,99
1899,641173,99
6386,600944,99
4543,616102,99
2926,631641,99
6384,600950,99
8843,582424,99
4734,614480,99
7696,590782,99
6046,603432,99
922,650511,99
2130,639288,99
4612,615534,99
6460,600395,99
2397,636722,99
5036,611478,99
1515,644222,99
7641,591161,99
7521,591908,99
8541,584528,99
4926,612736,99
7423,592598,99
2921,631658,99
8082,588011,99
1739,642452,99
7927,589006,99
5656,606592,99
4957,612469,99
7674,590944,99
5363,608711,99
2392,636766,99
2961,631406,99
2070,639602,99
7683,590900,99
1190,647404,99
7448,592425,99
7931,588993,99
2623,634314,99
6458,600406,99
9228,579717,99
6040,603490,99
1770,642177,99
7707,590711,99
1030,649212,99
1007,649404,99
657,653761,99
3097,630170,99
1079,648526,99
3384,627744,99
6736,598132,99
174,658675,99
7947,588873,99
2026,640073,99
6125,602757,99
953,650165,99
7814,589858,99
1617,643443,99
8343,586175,99
954,650153,99
220,658193,99
8309,586394,99
2410,636564,99
8749,583055,99
1927,641017,99
5661,606560,99
1099,648284,99
4523,616325,99
1350,645703,99
2171,638993,99
899,650851,99
8904,582083,99
2925,631642,99
1572,643889,99
8282,586638,99
3396,627656,99
8092,587995,99
1068,648670,99
8897,582125,99
6028,603581,99
3233,629089,99
8086,588006,99
4173,619870,99
5448,608163,99
973,649862,99
