,VAR_NAME,MIN_VALUE,MAX_VALUE,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,WOE,IV
0,Lead Number,579533.0,602465.0,2156,754,0.349721706864564,1402,0.650278293135436,0.2995629717918157,0.3549367088607595,-0.1696148368267276,0.01402206901201052
1,Lead Number,602470.0,630568.0,2155,876,0.40649651972157774,1279,0.5935034802784223,0.34803337306317045,0.3237974683544304,0.07218015211740027,0.01402206901201052
2,Lead Number,630589.0,660728.0,2156,887,0.4114100185528757,1269,0.5885899814471243,0.3524036551450139,0.32126582278481014,0.09250837735504364,0.01402206901201052
3,TotalVisits,-1.0252332866452254,-0.714000893802214,1830,680,0.37158469945355194,1150,0.6284153005464481,0.2701628923321414,0.2911392405063291,-0.07477656042729175,0.00898400128970132
4,TotalVisits,-0.4027685009592025,-0.0915361081161911,2196,819,0.3729508196721312,1377,0.6270491803278688,0.3253873659117998,0.34860759493670884,-0.06893055211573366,0.00898400128970132
5,TotalVisits,0.21969628472682035,0.5309286775698318,1318,537,0.40743550834597875,781,0.5925644916540213,0.2133492252681764,0.19772151898734178,0.07607080742903029,0.00898400128970132
6,TotalVisits,0.8421610704128432,4.265717391685969,1123,481,0.42831700801424755,642,0.5716829919857525,0.1911005164878824,0.16253164556962024,0.16192682917565168,0.00898400128970132
7,Website Time,-0.8911924223938,-0.44186085096125155,3235,880,0.27202472952086554,2355,0.7279752704791345,0.34962256654747714,0.5962025316455696,-0.5337262362184142,0.24913592945785895
8,Website Time,-0.4400416948016056,3.2419303723217876,3232,1637,0.5064975247524752,1595,0.4935024752475248,0.6503774334525229,0.40379746835443037,0.4766394249120417,0.24913592945785895
9,Page Views Per Visit,-1.1722351979045589,-0.15680043133157295,3760,1447,0.3848404255319149,2313,0.6151595744680851,0.574890742947954,0.5855696202531645,-0.018405072840103506,0.0004682291051168946
10,Page Views Per Visit,-0.11618304066865347,3.397221251673878,2707,1070,0.3952715182859254,1637,0.6047284817140747,0.4251092570520461,0.41443037974683544,0.02544121284466865,0.0004682291051168946
11,Free copy required,0.0,0.0,4468,1801,0.403088630259624,2667,0.596911369740376,0.7155343663090982,0.6751898734177215,0.05803568375379347,0.007692243145023156
12,Free copy required,1.0,1.0,1999,716,0.3581790895447724,1283,0.6418209104552276,0.2844656336909019,0.3248101265822785,-0.1326283348951391,0.007692243145023156
13,Lead Origin_Landing Page Submission,0.0,0.0,3079,1278,0.41506982786619034,1801,0.5849301721338097,0.5077473182359953,0.4559493670886076,0.10760215252137582,0.010755963938372325
14,Lead Origin_Landing Page Submission,1.0,1.0,3388,1239,0.365702479338843,2149,0.6342975206611571,0.4922526817640048,0.5440506329113924,-0.10005015225351642,0.010755963938372325
15,Lead Origin_Lead Add Form,0.0,0.0,5938,2029,0.3416975412596834,3909,0.6583024587403166,0.8061183949145808,0.9896202531645569,-0.20509066320728833,0.5748162431831333
16,Lead Origin_Lead Add Form,1.0,1.0,529,488,0.9224952741020794,41,0.07750472589792061,0.19388160508541916,0.010379746835443038,2.927391201908691,0.5748162431831333
17,Lead Origin_Lead Import,0.0,0.0,6434,2511,0.39027043829654956,3923,0.6097295617034504,0.9976162097735399,0.9931645569620253,0.004472275707884097,0.004709411565565605
18,Lead Origin_Lead Import,1.0,1.0,33,6,0.18181818181818182,27,0.8181818181818182,0.0023837902264600714,0.006835443037974683,-1.0534295340164224,0.004709411565565605
